country,brand
Austria,JUST VEG!
Austria,SPAR VEGGIE
Austria,VEGAVITA
Austria,HERMANN
Austria,VEGINI
Austria,GARDEN GOURMET
Austria,VEGANZ
Austria,LANDHOF
Belgium,COLRUYT
Belgium,GARDEN GOURMET
Belgium,QUORN
Belgium,ALDI
Belgium,DELHAIZE
Belgium,LIDL
Belgium,ALBERT HEIJN
Belgium,VIVERA
Belgium,VALESS
Belgium,IGLO
Germany,RUEGENWALDER MUEHLE
Germany,LIDL
Germany,ALDI
Germany,IGLO
Germany,REWE
Germany,BEYOND MEAT
Germany,EDEKA
Germany,POPP
Spain,KIOENE
Spain,MY VEGGIE
Spain,NEXT LEVEL MEAT
Spain,NOEL
Spain,HEURA
Spain,GARDEN GOURMET
Spain,VEMONDO
Spain,HACENDADO
Spain,CAMPOFRIO
Spain,TIVALL
France,HERTA
France,GARDEN GOURMET
France,FINDUS
Netherlands,VIVERA
Netherlands,LIDL
Netherlands,VALESS
Netherlands,ALBERT HEIJN
Netherlands,DE VEGETARISCHE SLAGER
Netherlands,GARDEN GOURMET
Netherlands,JUMBO
Netherlands,UNOX
Netherlands,ALDI
Netherlands,MORA
United Kingdom,QUORN
United Kingdom,LINDA
United Kingdom,TESCO
United Kingdom,ALDI
United Kingdom,PLANT MENU
United Kingdom,CAULDRON
United Kingdom,ASDA
United Kingdom,SAINSBURY
United Kingdom,LIDL
United States,MORNINGSTAR FARMS
United States,GARDEIN
United States,BOCA
United States,LIGHTLIFE
United States,ALL VEGETARIAN
United States,QUORN
United States,BEYOND MEAT INC
United States,FIELD ROAST
United States,DR PRAEGERS
United States,TRADER JOES
